street,link,name,area,price,rooms
"Mołdawska 4, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-dwupokojowe-607514597?featuredAd=true,,40.0,2000.0,2.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/suterena-43-m-2-609181555,,43.0,1500.0,1.0
"Szczęśliwicka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/3-pok-62-m-kw-ochota-park-szczesliwicki-ul-szczesliwicka-1999-609183564,,62.0,1999.0,3.0
"Żwirki i Wigury 59, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-bezposrednio-tanie-umeblowane-dobra-lokalizacja-609181756,,26.0,1200.0,1.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/3-pokoje-dobry-dojazd-par-uslugi-cicho-599675956,,71.0,2650.0,3.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/warszawa-ochota-stara-ochota-bialobrzeska-608436130,,41.0,1700.0,2.0
"Orzechowska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/4-pokoje-w-domku-2500zl-609181332,,68.0,2500.0,4.0
"Dickensa, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajem-apartamentu-warszawa-ochota-3-pokoje-taras-609183722,,80.0,3100.0,3.0
"aleja Niepodległości, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-80m2-nr-110424-609181622,,80.0,3250.0,3.0
"Juliana Ursyna Niemcewicza, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/1-pokoj-28m2-ochota-ul-niemcewicza-grojecka-609185403,,28.0,1500.0,1.0
"Juliana Ursyna Niemcewicza, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-niemcewicza-3pok-83m-meble-bezprowizji-609184569,,83.0,3400.0,3.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/1-pokojowe-30m2-ochota-ul-wlodarzewska-2001-roku-609185589,,30.0,1500.0,1.0
"Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-kawalerka-29m2-ul-sierpinskiego-609186058,,29.0,1290.0,1.0
"Walentego Majewskiego Skorochód, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-majewskiego-lux-kawalerka-27m2-609187925,,27.0,1200.0,1.0
"Sąchocka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/2-osobne-pokoje-52m2-ochota-ul-sachocka-garaz-609185618,,52.0,2300.0,2.0
"Sabały, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/dom-warszawa-ochota-100m2-nr-5994-609174127,,100.0,3200.0,6.0
"Księcia Trojdena, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-ul-ksiecia-trojdena-tuz-przy-uniwersytecie-medycznym-609187801,,46.0,2000.0,2.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajme-mieszkanie-stara-ochota-barska-28-m2-609175217,,28.0,1500.0,1.0
Ochota,http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-do-wynajecia-609174812,,24.0,1300.0,1.0
"Filtrowa, 00-001 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/studio-aranzacja-architekta-ochota-filtry-609176275,,26.0,1900.0,1.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerke-wynajme-na-ochocie-609172613,,20.0,1300.0,1.0
"Wawelska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wawelska-pl-lotnika--b-ladne-2-pok-60m2-parking-o-prowizji-609176574,,60.0,2300.0,2.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/nowe-mieszkanie-z-ogrodkiem-na-ochocie-609176264,,116.0,750750.0,5.0
"Drawska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-105m2-nr-2316-609176999,,105.0,4000.0,4.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-dom-do-wynajecia-po-remoncie-609177059,,300.0,10000.0,5.0
"Wacława Sierpińskiego, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-ul-sierpinskiego-w-budynku-z-2000-roku-609177262,,50.0,1600.0,2.0
"Przechodnia, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajme-40-m-w-wiezowcu-ul-przechodnia-srodmiescie-609177409,,40.0,2200.0,2.0
"Magnolii, Józefoslaw, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajme-104-m-z-loggia-ul-magnolii-jozefoslaw-609177418,,104.0,2200.0,4.0
"Pejzażowa, 02-703 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajme-59m-2-pokoje-z-balkonem-ul-pejzazowa-mokotow-609177413,,59.0,2000.0,2.0
"Prezydencka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-60m2-nr-1334-609177888,,60.0,3000.0,3.0
